id,host_id,host_name,latitude,longitude,room_type,price,availability_365
322606,1383749,Henrietta,51.47043,-0.17155,Private room,$70.00,348
73884,216660,Boris,51.49349,-0.22766,Entire home/apt,$50.00,158
214755,1026967,James,51.51146,-0.2021,Entire home/apt,$595.00,209
216350,1116804,Debbie,51.47928,-0.22061,Private room,$83.00,329
324055,1664001,Ganesan,51.55311,0.02273,Private room,$29.00,365
78606,422362,Nicola,51.57322,0.01045,Private room,$99.00,365
325809,1666422,Stephen,51.54897,-0.18309,Entire home/apt,$863.00,365
228195,940283,Andrew,51.48829,-0.18905,Entire home/apt,$101.00,64
326633,1619024,Sally,51.47565,-0.15159,Private room,$70.00,157
79129,425764,Danielle,51.39648,-0.2117,Private room,$36.00,303
326655,43039,Adriano,51.46201,-0.117145,Entire home/apt,$202.00,331
80123,432648,Melanie,51.45173,-0.15556,Entire home/apt,$100.00,60
231452,1210175,Ungelie,51.47118,-0.1844,Private room,$90.00,352
231692,1211430,Janina,51.54818,-0.08428,Private room,$48.00,31
231854,259088,Simon,51.52153,-0.1004,Private room,$147.00,233
329610,1682825,Ramon,51.56407,-0.01151,Private room,$100.00,365
331058,1688557,Layla,51.50095,-0.25827,Private room,$55.00,250
334310,1703080,Allan,51.45625,-0.01633,Private room,$38.00,176
81080,439154,Lucy,51.40644,-0.33563,Entire home/apt,$170.00,289
236956,979363,Donovan,51.50363,-0.10926,Private room,$58.00,311
81410,441494,Fernando,51.52139,-0.13932,Entire home/apt,$400.00,79
337806,1716535,Dalston,51.55112,-0.07469,Entire home/apt,$75.00,133
237907,67625,The Team At The London Agent,51.52022,-0.10577,Entire home/apt,$313.00,219
81449,441736,Kris,51.51061,-0.06646,Entire home/apt,$156.00,196
338198,1718539,Mojdeh,51.56329,-0.19534,Entire home/apt,$95.00,307
81473,441881,Petra,51.41565,-0.07714,Private room,$40.00,48
338354,1719023,Gill,51.46777,-0.049772,Private room,$36.00,276
338616,1719982,Pedro,51.47636,-0.08317,Private room,$79.00,356
238711,1251427,Benjamin,51.51156,-0.19579,Entire home/apt,$172.00,41
81635,443041,Carol,51.52707,-0.10923,Private room,$102.00,336
338896,1721165,Elaine,51.59618,-0.19038,Private room,$40.00,53
81951,445322,Richard,51.58388,0.15463,Entire home/apt,$190.00,364
340435,1727431,Kenichiro,51.50743,-0.22568,Private room,$59.00,151
84223,460272,Antonia Clare,51.48579,-0.1077,Private room,$62.00,336
241621,1267045,Clare,51.42865,-0.15725,Private room,$45.00,30
341779,1734105,Tricia,51.40392,-0.09948,Private room,$26.00,254
241975,1269568,Iki,51.56094,-0.10893,Private room,$35.00,305
85191,466353,Elisabetta,51.49168,-0.1157,Private room,$65.00,323
86092,472474,Amy  Gabriella,51.48606,-0.19752,Entire home/apt,$135.00,75
244125,1270755,Claire,51.52932,-0.08094,Entire home/apt,$657.00,319
87514,352607,Andrea,51.52479,-0.11648,Entire home/apt,$129.00,182
245116,1285864,Miss Salem,51.55012,-0.11695,Private room,$70.00,339
342804,1631033,Sandra,51.48775,-0.27161,Entire home/apt,$160.00,270
87827,479209,Paullus,51.5107,-0.18997,Private room,$150.00,365
