id,host_id,host_name,latitude,longitude,room_type,price,availability_365
9582415,49602995,Daniela,51.44473,-0.379,Private room,35,278.0
25796711,25587547,Matthew,51.47398,-0.21531,Entire home/apt,103,317.0
29060134,57607790,Shofraz,51.52716,-0.44164,Entire home/apt,85,346.0
30374086,228095684,Yashar,51.59118,-0.1667,Entire home/apt,85,139.0
31300930,234271729,Cathy & Dan-Erik,51.3796,-0.27561,Private room,32,140.0
34733139,246523174,Elena,51.59863,-0.39746,Private room,30,157.0
36150222,271866052,Daniela,51.53836,0.09205,Private room,50,164.0
37303306,280828579,Good,51.46434,0.01047,Entire home/apt,57,50.0
37475527,282714596,Zorrays,51.54386,0.07166,Private room,25,258.0
39858722,229462629,Ashty And Tatiana,51.49357,0.0582,Private room,30,80.0
42010,157884,Agri & Roger,51.58611,-0.16272,Private room,45,326.0
387835,1940607,Graham,51.42833,-0.34646,Private room,39,302.0
350588,1775224,Christina,51.53638,-0.11896,Private room,98,96.0
469187,1952786,Anne,51.47386,-0.16397,Private room,56,299.0
471410,2292554,Maria,51.49268,-0.20535,Private room,35,51.0
526682,2588467,Abi,51.54513,-0.1469,Private room,62,238.0
731022,2531619,Jelena,51.52757,-0.33636,Private room,34,175.0
1296836,7050882,Michael,51.51195,-0.12508,Private room,65,271.0
1250149,6812240,John,51.53074,-0.05389,Private room,50,308.0
1613251,8585244,Michal,51.45344,-0.1903,Private room,40,302.0
1529563,8158879,Enrico &,51.44753,-0.11429,Private room,55,322.0
1542235,8220155,Tracy,51.50172,-0.21768,Private room,50,39.0
2856896,45243,Rob,51.50312,-0.09949,Entire home/apt,190,71.0
3658653,14192590,Mike And Maria,51.53819,-0.08262,Private room,70,60.0
4280762,306109,Matt,51.53538,-0.07303,Private room,49,179.0
4748665,14148041,Richard,51.54383,0.02659,Private room,20,103.0
4924518,3603824,Rhoda & Naomi,51.60598,-0.08881,Private room,24,353.0
5101881,23727152,John,51.53117,-0.0568,Private room,45,258.0
5312523,10898062,Vinay & Giada,51.48842,-0.06671,Private room,49,63.0
5496697,28508269,Rose,51.5909,-0.06373,Private room,23,328.0
5742008,29781572,Aman,51.54895,-0.11488,Private room,45,130.0
5892658,207304,Mike,51.49303,-0.09049,Private room,61,190.0
5975492,30629100,Gary,51.38329,-0.08221,Entire home/apt,48,276.0
5909215,25786152,Sally,51.43982,-0.20504,Private room,35,46.0
7141356,37393214,Tina,51.48898,-0.19296,Entire home/apt,209,346.0
7245085,290111,Neal,51.46159,-0.20091,Entire home/apt,200,275.0
7553737,39591640,Michelle,51.49428,-0.25162,Private room,60,180.0
8388254,44200321,Trevor,51.42861,-0.3263,Entire home/apt,125,334.0
8442327,24209453,Chanan,51.48894,-0.22438,Private room,43,263.0
8759596,22041596,Debbie,51.46439,-0.21197,Private room,69,309.0
9087606,6498776,Jash,51.53222,-0.1098,Entire home/apt,156,47.0
9249979,48064852,Camilla,51.45769,-0.1121,Private room,50,277.0
9410201,39496238,Mary,51.51973,-0.26493,Private room,30,69.0
9601641,4209940,Globe,51.51466,-0.14926,Entire home/apt,404,33.0
9800588,50502683,Hasan,51.4831,-0.47636,Entire home/apt,80,119.0
10031152,51492683,Alessandra,51.55262,-0.0988,Private room,24,339.0
10666636,54184847,Madison Hill London,51.45174,-0.14774,Entire home/apt,299,346.0
10762870,49316951,Erika,51.4745,-0.17123,Private room,47,291.0
10976789,56951683,Clare,51.45504,-0.09298,Entire home/apt,100,60.0
11488028,60480188,Carol,51.48428,-0.31012,Private room,50,60.0
12311578,66400727,Josephine,51.48366,-0.18779,Private room,55,114.0
12608435,68423877,John,51.57571,-0.26475,Private room,40,38.0
13042832,53974091,Amanda,51.44936,-0.20537,Private room,35,276.0
13527586,77741674,Denis,51.4216,-0.17485,Private room,55,56.0
13651780,79083683,Linda,51.51813,-0.46481,Entire home/apt,125,315.0
14146144,68423877,John,51.57516,-0.26633,Private room,35,69.0
14270575,28467292,Bradley,51.50066,-0.08951,Entire home/apt,95,71.0
14663042,50574701,Rubina,51.54892,-0.28424,Private room,28,335.0
14667533,91138271,Nancy,51.39655,-0.13238,Private room,21,249.0
14687689,82436841,Max And Billie,51.50972,-0.19557,Entire home/apt,73,169.0
14750579,91939782,Nicola,51.47205,-0.05555,Private room,40,244.0
15012145,20979215,Beren,51.54145,-0.10205,Private room,69,121.0
15324001,97652202,Joanne,51.53062,-0.21609,Private room,50,302.0
16154195,3624229,Melanie,51.53169,-0.05605,Entire home/apt,180,269.0
16892780,27687646,Ella,51.56551,-0.05222,Private room,70,147.0
17152278,115300081,Dan,51.52488,-0.08092,Entire home/apt,80,46.0
17554693,32889817,Karen,51.58772,-0.00458,Private room,21,165.0
17613519,6996100,Fran,51.46122,-0.13864,Private room,45,349.0
18209008,8063230,Nadia,51.56438,-0.04706,Entire home/apt,85,116.0
18507536,112135765,Thiago,51.48169,-0.20125,Entire home/apt,145,89.0
18661184,129685885,Geraldine,51.5572,-0.09989,Private room,38,89.0
18641867,290446,Cornelia,51.57032,-0.11582,Private room,25,317.0
18684043,14517363,Adeel,51.50855,0.01778,Entire home/apt,235,287.0
19132058,103201519,Jitesh,51.54819,-0.11968,Private room,45,331.0
19458358,136482860,Tina,51.51744,0.01269,Entire home/apt,95,230.0
19535158,137217788,James,51.51247,-0.20379,Private room,65,42.0
19723096,50682236,Margarita,51.51642,-0.255,Private room,45,319.0
20128457,139073603,Sam,51.42082,0.06952,Entire home/apt,75,146.0
20191319,102712576,Dawud,51.57549,0.05352,Private room,15,60.0
20466269,7674862,Antonia,51.53815,-0.24122,Private room,52,309.0
20596896,1355628,Carron & Paul,51.55743,-0.075,Private room,42,235.0
20567265,146897350,William,51.48648,-0.12105,Entire home/apt,95,161.0
20671287,147515148,Carolina,51.50468,-0.2777,Private room,30,161.0
20800724,669357,Davi,51.50019,-0.08472,Private room,59,85.0
21108020,152211268,Ruth,51.51025,-0.12762,Private room,85,135.0
21188623,152449092,Jonathan,51.46815,-0.12811,Entire home/apt,107,231.0
21291397,154056177,Sophie,51.46608,-0.23468,Private room,60,161.0
21344803,10321003,Camden,51.5323,-0.1308,Private room,58,45.0
21354856,5256116,Laura,51.48304,-0.17348,Private room,70,64.0
21438138,143344822,Yasmin And Freddie,51.48545,-0.44268,Private room,30,147.0
21468992,155901022,Sajjad,51.51859,-0.07262,Entire home/apt,90,37.0
