id,last_scraped,host_id,host_name,host_is_superhost,host_listings_count,host_total_listings_count,latitude,longitude,property_type,room_type,accommodates,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,first_review,last_review,review_scores_rating,reviews_per_month
40467196,2021-09-11,12987244,Tina,f,1.0,1.0,51.44439,-0.12308,Entire residential home,Entire home/apt,8,$190.00,7,1125,48,3,2020-01-03,2020-01-21,5.0,0.15
40467458,2021-09-11,61111238,Hasna,f,1.0,1.0,51.50637,-0.26521,Private room in rental unit,Private room,2,$70.00,3,30,87,2,2019-12-08,2020-01-02,5.0,0.09
40468087,2021-09-11,2082123,Aurelie,f,2.0,2.0,51.58478,-0.03813,Entire residential home,Entire home/apt,6,$99.00,80,1125,98,3,2020-01-04,2021-08-30,5.0,0.15
40468820,2021-09-12,31923744,Salah,f,2.0,2.0,51.60841,-0.21076,Entire rental unit,Entire home/apt,4,$110.00,2,1125,224,1,2019-12-08,2019-12-08,5.0,0.05
40469935,2021-09-11,94679515,Helen,f,40.0,40.0,51.52289,-0.16278,Entire rental unit,Entire home/apt,2,$110.00,5,1125,345,4,2019-12-12,2021-07-25,4.5,0.19
40471358,2021-09-11,227657333,Tibor,f,22.0,22.0,51.49034,-0.14416,Private room in residential home,Private room,2,$43.00,1,1125,313,19,2020-01-13,2019-12-18,4.68,0.94
40472285,2021-09-11,228960140,Laert,f,1.0,1.0,51.55676,-0.11857,Entire rental unit,Entire home/apt,2,$55.00,1,1125,305,15,2020-02-10,2021-02-18,4.87,0.78
40481239,2021-09-11,71989399,Roysul,f,5.0,5.0,51.42743,-0.13045,Entire rental unit,Entire home/apt,2,$40.00,1,1125,72,6,2019-12-06,2020-03-25,4.67,0.28
40481641,2021-09-12,310416816,Sylwia,f,9.0,9.0,51.46176,-0.08636,Private room in residential home,Private room,1,$40.00,1,1125,223,5,2019-12-10,2020-03-04,4.6,0.23
40481844,2021-09-12,310416816,Sylwia,f,9.0,9.0,51.4634,-0.08781,Private room in residential home,Private room,2,$40.00,1,1125,223,15,2020-03-07,2020-01-17,4.73,0.81
40487214,2021-09-11,313390215,Henry,f,1.0,1.0,51.59887,-0.07794,Entire rental unit,Entire home/apt,4,$100.00,2,1125,88,1,2019-12-31,2019-12-31,0.0,0.05
40489516,2021-09-11,101930870,Michelle,t,1.0,1.0,51.51733,-0.18893,Entire rental unit,Entire home/apt,2,$80.00,1,1125,253,12,2020-10-01,2021-05-10,5.0,1.04
40491645,2021-09-12,234807840,Syed,f,2.0,2.0,51.56507,0.1698,Private room in rental unit,Private room,2,$18.00,3,1125,254,2,2019-12-07,2020-01-01,1.5,0.09
40496701,2021-09-12,191929415,Dacian,f,2.0,2.0,51.42659,-0.02337,Entire rental unit,Entire home/apt,2,$37.00,1,1125,348,10,2019-12-20,2021-09-10,4.5,0.47
40497755,2021-09-11,313518704,Joanna,f,2.0,2.0,51.506,-0.00569,Entire rental unit,Entire home/apt,5,$179.00,14,1125,96,1,2020-02-29,2020-02-29,5.0,0.05
40497971,2021-09-11,3494121,Oliver,t,0.0,0.0,51.55609,-0.09602,Entire rental unit,Entire home/apt,2,$81.00,3,1125,44,24,2020-02-17,2021-06-23,4.96,1.26
40498286,2021-09-11,224443230,Ibrahim,f,12.0,12.0,51.59378,-0.2505,Private room in residential home,Private room,2,$28.00,1,1125,365,3,2019-12-08,2020-02-25,5.0,0.14
40498463,2021-09-12,313524859,Melissa,f,0.0,0.0,51.57388,0.18834,Entire residential home,Entire home/apt,3,$97.00,3,1125,326,10,2020-09-03,2021-06-25,5.0,0.8
40501860,2021-09-12,313555215,Harry,f,2.0,2.0,51.59655,0.02411,Entire rental unit,Entire home/apt,7,$200.00,3,1125,90,6,2019-12-22,2020-03-15,4.83,0.29
40502078,2021-09-11,313558325,Sam,f,1.0,1.0,51.58386,-0.20085,Entire rental unit,Entire home/apt,2,$80.00,1,90,40,54,2020-02-18,2021-06-06,4.57,2.83
40505806,2021-09-11,313588740,Sara,t,0.0,0.0,51.51444,-0.03063,Entire rental unit,Entire home/apt,4,$100.00,2,30,37,13,2020-01-03,2020-09-30,5.0,0.63
40506137,2021-09-11,128390941,Aysha,f,1.0,1.0,51.49874,-0.10399,Private room in residential home,Private room,2,$115.00,1,2,90,2,2019-12-05,2019-12-10,5.0,0.09
40518299,2021-09-11,313698874,Sara,f,0.0,0.0,51.55934,-0.2212,Private room in residential home,Private room,1,$35.00,1,10,50,1,2020-03-01,2020-03-01,5.0,0.05
40518546,2021-09-11,2594842,Justin,f,1.0,1.0,51.45678,-0.00737,Entire rental unit,Entire home/apt,2,"$5,000.00",3,7,179,1,2019-12-03,2019-12-03,0.0,0.05
40521285,2021-09-11,84299308,Jamie,f,1.0,1.0,51.5482,-0.07133,Entire rental unit,Entire home/apt,4,$83.00,14,180,128,5,2020-01-05,2020-10-23,5.0,0.24
40522937,2021-09-11,156569074,Araceli,f,2.0,2.0,51.47223,-0.18583,Private room in rental unit,Private room,1,$43.00,1,1125,361,2,2020-01-22,2021-07-20,5.0,0.1
40523001,2021-09-11,1432477,City Relay,f,93.0,93.0,51.49094,-0.11364,Entire rental unit,Entire home/apt,2,$97.00,1,1125,344,8,2019-12-24,2020-06-21,4.29,0.38
40525662,2021-09-11,312039955,Maurizio,f,1.0,1.0,51.58015,-0.09603,Private room in rental unit,Private room,2,$40.00,1,1125,179,1,2020-01-02,2020-01-02,4.0,0.05
40525992,2021-09-12,24802355,Luo,f,0.0,0.0,51.55392,0.01822,Private room in residential home,Private room,2,$35.00,2,1125,161,3,2020-01-09,2020-02-06,5.0,0.15
40527668,2021-09-11,269308503,Michael,f,0.0,0.0,51.49483,-0.10048,Entire rental unit,Entire home/apt,6,$330.00,4,1125,321,7,2019-12-19,2020-01-07,4.43,0.33
40527984,2021-09-11,1663503,Alex,f,0.0,0.0,51.55517,-0.16383,Private room in rental unit,Private room,1,$72.00,3,1125,78,1,2020-01-04,2020-01-04,5.0,0.05
40531738,2021-09-12,313812429,Happy,f,2.0,2.0,51.53113,-0.44862,Private room in residential home,Private room,2,$40.00,10,1125,72,1,2020-01-29,2020-01-29,4.0,0.05
40531824,2021-09-11,313820898,James,f,1.0,1.0,51.43864,-0.13543,Private room in rental unit,Private room,1,$35.00,1,7,86,6,2020-03-09,2020-11-07,4.2,0.33
40532944,2021-09-11,36355198,Oguzhan,f,1.0,1.0,51.50015,0.05908,Entire rental unit,Entire home/apt,6,$100.00,1,1125,313,1,2020-01-08,2020-01-08,0.0,0.05
40534080,2021-09-11,227657333,Tibor,f,22.0,22.0,51.49147,-0.14423,Private room in residential home,Private room,4,$49.00,1,1125,334,9,2019-12-06,2020-02-12,4.22,0.42
40535423,2021-09-11,28051490,Catrina,f,1.0,1.0,51.42389,-0.15529,Private room in townhouse,Private room,1,$26.00,1,20,61,2,2019-12-07,2020-02-10,5.0,0.09
