id,host_id,host_name,latitude,longitude,room_type,price,availability_365
11551,43039,Adriano,51.46225,-0.11732,Entire home/apt,$97.00,279
13913,54730,Alina,51.56802,-0.11121,Private room,$40.00,365
15400,60302,Philippa,51.48796,-0.16898,Entire home/apt,$75.00,150
17402,67564,Liz,51.52195,-0.14094,Entire home/apt,$307.00,330
17506,67915,Charlotte,51.47935,-0.19743,Private room,$150.00,364
33332,144444,Chi-Chi,51.46507,-0.32421,Private room,$65.00,365
36299,155938,Geert,51.47934,-0.28066,Entire home/apt,$195.00,317
36660,157884,Agri & Roger,51.58461,-0.1617,Private room,$72.00,365
36986,159556,Michael,51.53972,-0.05885,Entire home/apt,$80.00,90
37384,161459,Liz,51.46871,-0.06455,Private room,$70.00,364
38151,163634,Lisa,51.4194,-0.08722,Private room,$65.00,365
38407,164566,John,51.49995,-0.02624,Entire home/apt,$65.00,98
38605,165579,Elisa & Dom,51.50687,-0.23328,Private room,$58.00,180
38950,167107,Paul,51.5873,-0.08606,Private room,$45.00,90
38995,167281,Cesar,51.47871,-0.06063,Private room,$42.00,89
39387,168920,Alec,51.52589,-0.19942,Private room,$42.00,88
40228,167107,Paul,51.5886,-0.08805,Private room,$45.00,90
41445,180838,Sean,51.61648,-0.25788,Entire home/apt,$180.00,358
41509,181028,Peter,51.49157,-0.256,Private room,$42.00,180
42001,183658,Maria,51.49441,-0.20479,Private room,$50.00,89
43129,188138,Sylvan,51.48172,-0.20957,Private room,$38.00,364
44237,193280,Sally,51.47612,-0.19183,Private room,$55.00,44
44384,194769,S,51.59554,-0.24187,Private room,$29.00,365
45163,199530,Deb,51.55224,-0.19964,Private room,$40.00,62
46961,194769,S,51.48055,-0.18238,Entire home/apt,$85.00,365
47192,212734,"Let'S Dance, Put On Your Red Shoes",51.5297,-0.14384,Private room,$35.00,364
47687,216660,Boris,51.49506,-0.2275,Entire home/apt,$78.00,365
51830,239020,Sarah,51.51757,-0.19195,Entire home/apt,$121.00,70
53041,246399,Ciaran,51.54811,-0.19563,Private room,$40.00,364
53245,247650,Louise,51.47246,-0.12727,Entire home/apt,$68.00,225
56229,216660,Boris,51.49355,-0.22864,Entire home/apt,$63.00,365
56784,269609,Trudi,51.39998,-0.10548,Private room,$35.00,365
59656,196620,Fay,51.52404,-0.18494,Private room,$70.00,364
62747,289179,Jacinta,51.52126,-0.05696,Private room,$43.00,89
62898,306592,Khalid,51.56093,0.06692,Private room,$49.00,365
62901,306592,Khalid,51.55942,0.06846,Private room,$55.00,364
63864,54987,Prateek,51.49946,-0.01934,Entire home/apt,$129.00,363
63948,216660,Boris,51.49402,-0.22724,Entire home/apt,$57.00,263
64429,193586,Julie,51.52053,-0.20968,Private room,$45.00,180
65638,320901,Mike,51.48624,-0.09624,Entire home/apt,$75.00,251
65831,321917,Patrick,51.4796,-0.09821,Entire home/apt,$99.00,89
66772,216660,Boris,51.49404,-0.22738,Private room,$60.00,362
67025,211108,Simon,51.49625,-0.15497,Entire home/apt,$129.00,236
67934,335716,Laura D,51.60202,-0.26139,Private room,$25.00,364
69119,306592,Khalid,51.56131,0.06822,Private room,$62.00,365
69198,345886,Alda,51.59016,-0.09427,Private room,$36.00,314
70482,357352,Michael,51.54049,-0.04916,Entire home/apt,$110.00,362
71875,67564,Liz,51.52216,-0.13859,Entire home/apt,$148.00,364
72059,371121,John,51.59583,-0.14223,Private room,$80.00,64
75120,183658,Maria,51.49389,-0.20418,Entire home/apt,$414.00,365
76932,196620,Fay,51.52423,-0.18481,Entire home/apt,$200.00,364
78606,422362,Nicola,51.57157,0.01088,Private room,$42.00,365
78892,424230,Julia,51.46452,-0.0797,Private room,$34.00,35
79129,425764,Danielle,51.39711,-0.21342,Private room,$29.00,363
79216,426378,Thesla,51.43828,-0.01975,Private room,$60.00,365
80441,416812,Esther,51.49494,-0.12004,Entire home/apt,$95.00,75
81015,269609,Trudi,51.40092,-0.10452,Private room,$35.00,365
81080,439154,Lucy,51.40644,-0.33563,Hotel room,$120.00,354
81211,439880,Liz,51.54838,-0.16344,Entire home/apt,$110.00,362
81410,441494,Fernando,51.52123,-0.14033,Entire home/apt,$200.00,349
81449,441736,Kris,51.51061,-0.06646,Entire home/apt,$128.00,199
81635,443041,Carol,51.52842,-0.11141,Private room,$102.00,334
81951,445322,Richard,51.58519,0.15639,Entire home/apt,$190.00,364
83027,452174,Berna,51.46721,0.04371,Private room,$26.00,365
84532,462165,Murielle,51.57552,-0.06052,Private room,$29.00,79
84640,462651,Maria,51.58937,-0.12274,Private room,$40.00,90
85191,466353,Elisabetta,51.48968,-0.11637,Private room,$58.00,365
86092,472474,Amy  Gabriella,51.48582,-0.19951,Entire home/apt,$98.00,321
87514,352607,Andrea,51.52528,-0.11521,Entire home/apt,$99.00,365
87827,479209,Paullus,51.51106,-0.18922,Private room,$150.00,365
89094,485803,Pearline,51.48209,0.07248,Shared room,$50.00,365
89870,54730,Alina,51.56822,-0.11266,Entire home/apt,$125.00,364
90522,490714,Melinda And Tony,51.41297,-0.11367,Private room,$40.00,364
90681,491199,Gillian,51.44762,-0.05716,Private room,$58.00,341
90700,491286,Chil,51.51074,-0.19853,Entire home/apt,$50.00,364
91287,493497,Clive,51.54055,-0.11682,Entire home/apt,$90.00,31
92352,497172,Natalie,51.54273,-0.09948,Entire home/apt,$90.00,151
92399,497366,Andrea & Mark,51.55071,-0.08547,Entire home/apt,$65.00,338
92644,498201,Deirdre,51.44004,-0.18755,Private room,$42.00,302
93015,499704,Sarah,51.50178,-0.21627,Entire home/apt,$115.00,363
93263,500558,William,51.41562,-0.19489,Entire home/apt,$75.00,304
93734,497514,William,51.47635,0.0128,Private room,$35.00,294
96008,510424,Dionne,51.43923,-0.10421,Private room,$80.00,365
96052,448154,Aneta,51.55786,-0.2263,Private room,$46.00,364
96640,512757,Lucy,51.57204,-0.08339,Private room,$100.00,365
97178,510439,Sallyjo,51.52099,-0.22852,Private room,$49.00,354
97506,497537,Keith,51.42875,-0.12056,Private room,$35.00,364
97583,516216,Caroline,51.60796,-0.12551,Private room,$39.00,364
98271,518852,Paulo,51.5139,-0.29568,Private room,$60.00,364
98541,519891,Alicja,51.57419,-0.13958,Entire home/apt,$80.00,364
98750,520642,Zata,51.47845,-0.19328,Entire home/apt,$80.00,352
99241,522802,The Portobello Room,51.509,-0.19948,Private room,$110.00,364
99333,523246,Francesca,51.5468,-0.10667,Entire home/apt,$118.00,61
99742,525075,Katarina,51.49906,-0.22803,Private room,$350.00,365
100326,527471,Cecile & Adam,51.56485,-0.05612,Private room,$33.00,32
102391,535247,Angus Brown And Nelly,51.54647,-0.05664,Entire home/apt,$135.00,179
102565,536025,Anne,51.50615,-0.1078,Private room,$95.00,253
103865,492218,Richard,51.48815,-0.22315,Private room,$81.00,103
